CustomerID,Gender,Contract,PaymentMethod,MonthlyCharges,TotalCharges,Churn
2684-EIWEO,Female,Month-to-month,Credit card (automatic),91.7,2758.15,Yes
2685-SREOM,Female,Month-to-month,Electronic check,89.1,2368.4,Yes
2688-BHGOG,Male,Month-to-month,Electronic check,79.55,718.55,No
2690-DVRVK,Male,One year,Electronic check,20.55,99.45,No
2691-NZETQ,Male,Month-to-month,Electronic check,85.35,758.6,Yes
2692-AQCPF,Female,One year,Credit card (automatic),108.05,7118.9,No
2692-BUCFV,Male,Month-to-month,Bank transfer (automatic),101.45,2948.6,No
2692-PFYTJ,Female,Month-to-month,Mailed check,25.75,25.75,No
2694-CIUMO,Female,Month-to-month,Credit card (automatic),79.55,958.25,No
2696-ECXKC,Female,One year,Mailed check,100.9,5448.6,No
2696-NARTR,Male,Month-to-month,Electronic check,73.85,926.25,Yes
2696-RZVZW,Male,Two year,Credit card (automatic),25.05,1629.2,No
2697-NQBPF,Male,Month-to-month,Electronic check,105.35,3540.65,No
2700-LUEVA,Male,Month-to-month,Credit card (automatic),20.75,20.75,No
2703-AMTUL,Male,One year,Mailed check,53.65,1939.35,No
2706-QZIHY,Female,Two year,Mailed check,25.2,387.9,No
2709-UQGNP,Male,Month-to-month,Mailed check,51.65,524.5,No
2710-WYVXG,Female,Two year,Mailed check,71.1,213.35,No
2712-SYWAY,Female,Month-to-month,Electronic check,25.7,25.7,No
2716-GFZOR,Male,Month-to-month,Credit card (automatic),86.1,3551.65,No
2717-HVIZY,Female,Month-to-month,Mailed check,20.05,163.6,No
2718-GAXQD,Female,Month-to-month,Electronic check,46.0,181.6,Yes
2718-YSKCS,Male,Two year,Bank transfer (automatic),19.6,1387.45,No
2719-BDAQO,Male,Month-to-month,Electronic check,93.85,1625.65,Yes
2720-FVBQP,Female,Month-to-month,Credit card (automatic),48.95,273.25,No
2720-WGKHP,Male,Month-to-month,Electronic check,94.0,181.7,Yes
2722-JMONI,Female,Month-to-month,Electronic check,49.55,49.55,Yes
2722-VOJQL,Male,One year,Credit card (automatic),105.65,6903.1,Yes
2724-FJDYW,Male,One year,Bank transfer (automatic),54.85,2191.7,No
2725-IWWBA,Male,One year,Mailed check,56.9,2560.1,No
2725-KXXWT,Male,Month-to-month,Electronic check,90.75,90.75,Yes
2725-TTRIQ,Female,Two year,Bank transfer (automatic),84.2,5986.55,No
2729-VNVAP,Female,Two year,Credit card (automatic),19.8,641.35,No
2731-GJRDG,Female,One year,Bank transfer (automatic),109.55,3608.0,No
2732-ISEZX,Female,Month-to-month,Mailed check,20.5,104.3,No
2737-WFVYW,Female,Month-to-month,Electronic check,45.25,85.5,Yes
2737-YNGYW,Female,Month-to-month,Electronic check,80.55,184.1,Yes
2739-CACDQ,Female,Month-to-month,Credit card (automatic),82.65,1470.05,No
2739-CCZMB,Male,Month-to-month,Credit card (automatic),20.35,122.0,No
2740-JFBOK,Male,Month-to-month,Electronic check,24.0,226.55,No
2740-TVLFN,Male,Month-to-month,Electronic check,50.15,50.15,No
2746-DIJLO,Female,One year,Credit card (automatic),56.3,2364.0,No
2748-MYRVK,Female,One year,Bank transfer (automatic),99.9,6137.0,Yes
2749-CTKAJ,Male,One year,Mailed check,20.15,419.9,No
2750-BJLSB,Female,One year,Electronic check,103.7,4730.6,No
2753-JMMCV,Male,Two year,Credit card (automatic),74.2,4805.65,No
2754-SDJRD,Female,Month-to-month,Credit card (automatic),100.15,908.55,No
2754-VDLTR,Male,Month-to-month,Electronic check,95.2,930.4,Yes
2754-XBHTB,Female,Month-to-month,Bank transfer (automatic),77.65,714.15,Yes
2758-RNWXS,Male,One year,Electronic check,89.2,3251.3,No
2761-OCIAX,Male,Month-to-month,Electronic check,74.7,165.4,Yes
2761-XECQW,Male,Month-to-month,Mailed check,43.35,371.4,No
2770-NSVDG,Male,Month-to-month,Electronic check,29.1,688.0,No
2773-MADBQ,Female,Two year,Mailed check,53.1,1901.25,No
2773-OVBPK,Male,Two year,Bank transfer (automatic),111.3,7567.2,No
2774-LVQUS,Female,Month-to-month,Electronic check,83.05,1258.3,Yes
2775-SEFEE,Male,Two year,Bank transfer (automatic),61.9,0.0,No
2777-PHDEI,Female,Month-to-month,Electronic check,78.05,78.05,Yes
2778-OCLGR,Male,Month-to-month,Bank transfer (automatic),39.1,971.3,Yes
2782-JEEBU,Male,Month-to-month,Mailed check,36.0,780.15,No
2782-LFZVW,Female,Month-to-month,Mailed check,58.95,601.6,No
2786-GCDPI,Female,Month-to-month,Electronic check,104.95,5222.35,No
2788-CJQAQ,Male,One year,Mailed check,19.45,270.2,No
2789-CZANW,Female,Two year,Bank transfer (automatic),110.3,6997.3,No
2789-HQBOU,Male,Month-to-month,Electronic check,80.35,253.8,No
2790-XUYMV,Male,One year,Credit card (automatic),85.45,6028.95,No
2791-SFVEW,Female,Month-to-month,Bank transfer (automatic),20.15,238.15,No
2792-LSHWX,Female,Month-to-month,Mailed check,83.4,83.4,No
2792-VPPET,Male,Month-to-month,Electronic check,20.5,76.95,No
2794-XIMMO,Male,One year,Electronic check,60.45,3184.25,Yes
2796-NNUFI,Female,Two year,Mailed check,19.95,927.1,No
2796-UUZZO,Male,Month-to-month,Credit card (automatic),80.3,4896.35,No
2798-NYLMZ,Male,Two year,Credit card (automatic),108.55,7616.0,No
2799-ARNLO,Female,Month-to-month,Electronic check,69.35,341.6,No
2799-TSLAG,Female,Two year,Bank transfer (automatic),25.3,1748.55,No
2800-QQUSO,Male,Month-to-month,Electronic check,100.3,4222.95,No
2800-VEQXM,Female,Month-to-month,Mailed check,74.75,238.1,No
2801-NISEI,Male,Month-to-month,Electronic check,54.95,1348.5,No
2804-ETQDK,Male,Two year,Mailed check,20.55,1357.1,No
2805-AUFQN,Female,Two year,Credit card (automatic),19.8,475.2,No
2805-EDJPQ,Female,One year,Credit card (automatic),99.75,5608.4,No
2806-MLNTI,Male,One year,Bank transfer (automatic),105.1,5376.4,No
2808-CHTDM,Female,Two year,Mailed check,25.1,611.45,No
2809-ILCYT,Female,One year,Mailed check,26.8,733.55,No
2809-ZMYOQ,Female,Month-to-month,Electronic check,101.35,3334.9,No
2810-FTLEM,Female,Month-to-month,Electronic check,50.15,762.25,Yes
2811-POVEX,Female,Month-to-month,Bank transfer (automatic),88.45,2130.55,No
2812-ENYMO,Male,One year,Credit card (automatic),54.55,1362.85,No
2812-REYAT,Female,One year,Bank transfer (automatic),20.05,923.1,No
2812-SFXMJ,Male,Month-to-month,Mailed check,20.05,20.05,No
2815-CPTUL,Male,Month-to-month,Mailed check,70.25,331.9,Yes
2817-LVCPP,Female,Two year,Credit card (automatic),19.4,1023.95,No
2817-NTQDO,Male,Month-to-month,Credit card (automatic),45.55,597.0,Yes
2819-GWENI,Female,One year,Mailed check,19.9,543.0,No
2821-WARNZ,Female,One year,Credit card (automatic),19.45,921.3,No
2823-LKABH,Female,Month-to-month,Bank transfer (automatic),95.05,1679.4,No
2824-DXNKN,Female,Two year,Bank transfer (automatic),71.45,5025.85,No
2824-MYYBN,Female,Month-to-month,Electronic check,95.25,3314.15,No
2826-DXLQO,Male,Month-to-month,Bank transfer (automatic),29.8,220.45,No
2826-UWHIS,Male,Month-to-month,Bank transfer (automatic),81.4,3775.85,No
2828-SLQPF,Male,Month-to-month,Bank transfer (automatic),45.0,865.85,No
2829-HYVZP,Male,One year,Mailed check,19.8,572.2,No
2830-LEWOA,Male,One year,Credit card (automatic),103.9,6449.15,No
2831-EBWRN,Male,Month-to-month,Electronic check,45.9,199.75,No
2832-KJCRD,Female,Month-to-month,Electronic check,103.65,3988.5,No
2832-SCUCO,Female,Month-to-month,Electronic check,19.9,57.4,No
2833-SLKDQ,Male,Month-to-month,Mailed check,45.05,45.05,Yes
2834-JKOOW,Female,One year,Mailed check,45.9,693.45,No
2834-JRTUA,Male,Two year,Electronic check,108.05,7532.15,Yes
2834-SPCJV,Male,Month-to-month,Electronic check,84.1,4348.65,Yes
2839-RFSQE,Female,Month-to-month,Mailed check,20.65,38.7,Yes
2840-XANRC,Male,Month-to-month,Electronic check,93.15,2231.05,Yes
2842-BCQGE,Male,Month-to-month,Credit card (automatic),75.35,3161.4,No
2842-JTCCU,Male,Month-to-month,Bank transfer (automatic),46.05,80.35,Yes
2843-CQMEG,Male,Month-to-month,Mailed check,49.7,1218.25,No
2845-AFFTX,Male,Month-to-month,Electronic check,99.8,4259.3,Yes
2845-HSJCY,Female,Month-to-month,Electronic check,87.25,1258.6,Yes
2845-KDHVX,Female,Two year,Mailed check,68.3,4378.8,No
2848-YXSMW,Male,Two year,Credit card (automatic),19.4,1363.25,No
2851-MMUTZ,Female,Month-to-month,Mailed check,56.15,1439.35,No
2851-STERV,Male,One year,Electronic check,73.0,2471.25,No
2853-CWQFQ,Male,Month-to-month,Mailed check,59.55,59.55,No
2855-QOWGP,Male,One year,Electronic check,103.8,3470.8,
2856-HYAPG,Female,Month-to-month,Electronic check,68.65,68.65,Yes
2856-NNASM,Male,Month-to-month,Mailed check,89.55,3856.75,Yes
2858-EIMXH,Female,One year,Credit card (automatic),95.85,5016.25,No
2858-MOFSQ,Female,One year,Mailed check,55.85,937.5,Yes
2860-RANUS,Female,Month-to-month,Credit card (automatic),85.8,1727.5,Yes
2862-JVEOY,Male,One year,Mailed check,19.15,124.4,No
2862-PFNIK,Male,Month-to-month,Electronic check,24.7,24.7,No
2863-IMQDR,Female,Two year,Electronic check,89.65,5308.7,No
2865-TCHJW,Female,Month-to-month,Electronic check,89.2,346.2,Yes
2866-IKBTM,Female,Month-to-month,Mailed check,19.55,19.55,No
2867-UIMSS,Male,Month-to-month,Electronic check,80.5,80.5,Yes
2868-LLSKM,Female,One year,Bank transfer (automatic),83.65,5733.4,No
2868-MZAGQ,Male,Month-to-month,Electronic check,79.25,79.25,Yes
2868-SNELZ,Female,Month-to-month,Mailed check,80.6,155.8,Yes
2869-ADAWR,Female,Month-to-month,Credit card (automatic),89.3,4016.85,Yes
2873-ZLIWT,Female,Month-to-month,Electronic check,84.85,3303.05,Yes
2874-YXVVA,Female,Month-to-month,Electronic check,105.1,3634.8,No
2876-GZYZC,Female,Month-to-month,Electronic check,85.95,1215.65,No
2876-VBBBL,Female,Month-to-month,Mailed check,20.25,20.25,Yes
2877-VDUER,Female,One year,Mailed check,40.9,1383.6,No
2878-DHMIN,Male,One year,Electronic check,19.9,666.0,No
2878-RMWXY,Male,Two year,Credit card (automatic),102.65,7550.3,No
2880-FPNAE,Male,Month-to-month,Electronic check,74.2,140.1,No
2882-DDZPG,Female,Month-to-month,Bank transfer (automatic),19.45,227.45,No
2882-WDTBA,Male,Two year,Bank transfer (automatic),75.75,5388.15,No
2883-ILGWO,Male,Month-to-month,Bank transfer (automatic),104.9,5913.95,No
2884-GBPFB,Female,Month-to-month,Electronic check,70.3,2416.55,Yes
2885-HIJDH,Male,Two year,Bank transfer (automatic),86.9,6194.1,No
2886-KEFUM,Female,One year,Electronic check,107.5,6873.75,Yes
2887-JPYLU,Female,Month-to-month,Bank transfer (automatic),45.2,1841.9,No
2888-ADFAO,Female,Two year,Bank transfer (automatic),21.3,1041.8,No
2889-FPWRM,Male,One year,Bank transfer (automatic),117.8,8684.8,Yes
2890-WFBHU,Female,One year,Credit card (automatic),79.85,4786.1,No
2892-GESUL,Female,Two year,Mailed check,19.35,309.25,No
2894-QOJRX,Female,Month-to-month,Bank transfer (automatic),34.0,853.0,Yes
2896-TBNBE,Male,One year,Electronic check,80.8,3132.75,No
2897-DOVND,Male,Month-to-month,Electronic check,69.8,146.65,No
2898-LSJGD,Female,One year,Electronic check,55.95,1157.05,Yes
2898-MRKPI,Male,One year,Credit card (automatic),101.05,6770.5,No
2900-PHPLN,Female,Two year,Credit card (automatic),19.55,1462.05,No
2903-YYTBW,Male,Month-to-month,Electronic check,44.55,44.55,No
2904-GGUAZ,Female,Two year,Bank transfer (automatic),84.05,6052.25,No
2905-KFQUV,Female,Month-to-month,Credit card (automatic),70.4,154.8,No
2907-ILJBN,Female,One year,Mailed check,20.6,233.9,No
2908-WGAXL,Female,Two year,Credit card (automatic),24.95,1468.9,No
2908-ZTPNF,Female,Month-to-month,Bank transfer (automatic),34.85,1267.2,No
2911-IJORQ,Male,One year,Bank transfer (automatic),90.6,3358.65,No
2911-UREFD,Female,Month-to-month,Electronic check,55.9,2184.35,Yes
2911-WDXMV,Male,Month-to-month,Credit card (automatic),80.55,1406.65,No
2916-BQZLN,Male,Month-to-month,Electronic check,84.75,1651.95,No
2919-HBCJO,Female,Month-to-month,Bank transfer (automatic),76.65,333.6,Yes
2920-RNCEZ,Male,Month-to-month,Credit card (automatic),69.95,69.95,No
2921-XWDJH,Female,Month-to-month,Electronic check,83.45,3147.15,No
2923-ARZLG,Male,One year,Mailed check,19.7,0.0,No
2924-KHUVI,Male,One year,Electronic check,100.55,5514.95,No
2925-MXLSX,Female,One year,Credit card (automatic),68.95,2038.7,No
2925-VDZHY,Male,Two year,Credit card (automatic),88.7,6501.35,No
2926-JEJJC,Female,One year,Bank transfer (automatic),20.2,140.95,No
2927-CVULT,Female,Two year,Bank transfer (automatic),104.05,5566.4,No
2927-QRRQV,Male,One year,Electronic check,94.65,4312.5,No
2928-HLDBA,Female,Month-to-month,Mailed check,20.7,112.75,No
2929-ERCFZ,Female,Month-to-month,Electronic check,94.2,777.3,Yes
2929-QNSRW,Female,One year,Electronic check,98.25,5508.35,Yes
2930-UOTMB,Female,Month-to-month,Credit card (automatic),65.25,1994.3,Yes
2931-FSOHN,Male,Month-to-month,Electronic check,59.9,788.35,No
2931-SVLTV,Male,Month-to-month,Credit card (automatic),110.1,4469.1,No
2931-VUVJN,Female,One year,Electronic check,94.05,5483.9,No
2931-XIQBR,Female,One year,Mailed check,103.05,5153.5,No
2933-FILNV,Female,Month-to-month,Mailed check,24.4,36.55,Yes
2933-XEUJM,Female,Two year,Mailed check,79.2,3593.8,No
2937-FTHUR,Female,Month-to-month,Electronic check,64.8,1166.7,No
2946-KIQSP,Female,Month-to-month,Mailed check,33.45,1175.85,No
2947-DOMLJ,Male,Month-to-month,Mailed check,50.6,50.6,Yes
2951-QOQTK,Male,Month-to-month,Credit card (automatic),80.8,332.45,Yes
2952-QAYZF,Male,Month-to-month,Electronic check,85.3,424.15,Yes
2954-PIBKO,Female,Two year,Credit card (automatic),64.15,4254.1,No
2955-BJZHG,Male,Month-to-month,Electronic check,80.85,1400.85,Yes
2955-PSXOE,Female,Month-to-month,Bank transfer (automatic),20.2,20.2,Yes
2956-GGUCQ,Male,Month-to-month,Electronic check,78.85,1772.25,Yes
2956-MHLSX,Male,Month-to-month,Electronic check,50.8,50.8,
2957-JIRMN,Female,One year,Electronic check,84.45,4959.15,No
2957-LOLHO,Male,Month-to-month,Bank transfer (automatic),45.4,518.9,Yes
2958-NHPPS,Male,Month-to-month,Electronic check,20.85,473.9,No
2959-EEXWB,Female,Month-to-month,Bank transfer (automatic),50.9,2333.85,No
2959-FENLU,Female,Month-to-month,Credit card (automatic),85.3,781.4,No
2959-MJHIC,Male,Month-to-month,Electronic check,80.35,307.4,Yes
2960-NKRSO,Male,Month-to-month,Electronic check,85.95,2107.15,No
2961-VNFKL,Female,Two year,Credit card (automatic),25.95,1801.9,No
2962-XPMCQ,Male,Month-to-month,Electronic check,45.15,98.5,Yes
2967-MXRAV,Male,One year,Mailed check,18.8,18.8,No
2968-SSGAA,Female,Month-to-month,Electronic check,100.6,1060.2,Yes
2969-QWUBZ,Female,Month-to-month,Electronic check,51.4,96.8,No
2969-VAPYH,Female,One year,Credit card (automatic),60.5,3870.0,No
2969-WGHQO,Female,One year,Electronic check,69.45,477.05,No
2971-SGAFL,Female,Month-to-month,Electronic check,78.75,995.35,No
2972-YDYUW,Female,One year,Electronic check,94.7,5468.95,No
2974-GGUXS,Female,Month-to-month,Credit card (automatic),91.95,3301.05,No
2977-CEBSX,Female,Two year,Credit card (automatic),90.05,5965.95,No
2978-XXSOG,Female,Month-to-month,Mailed check,59.05,1253.5,No
2979-SXESE,Female,Month-to-month,Electronic check,94.4,1607.2,Yes
2982-IHMFT,Female,Month-to-month,Mailed check,74.45,74.45,Yes
2982-VPSGI,Female,Month-to-month,Electronic check,94.0,1078.9,Yes
2983-ZANRP,Female,Month-to-month,Bank transfer (automatic),73.55,145.4,Yes
2984-AFWNC,Female,Month-to-month,Electronic check,95.4,293.15,No
2984-MIIZL,Male,Month-to-month,Bank transfer (automatic),74.8,321.9,Yes
2984-RGEYA,Female,Two year,Bank transfer (automatic),19.75,1375.4,No
2984-TBYKU,Male,Two year,Credit card (automatic),104.9,7732.65,No
2985-FMWYF,Female,Month-to-month,Electronic check,93.5,2341.55,No
2985-JUUBZ,Male,Month-to-month,Electronic check,74.55,3015.75,No
2987-BJXIK,Female,Two year,Mailed check,84.7,5991.05,No
2988-GBIVW,Female,Month-to-month,Electronic check,90.85,6470.1,No
2988-PLAHS,Female,One year,Electronic check,69.95,220.45,No
2988-QRAJY,Male,Two year,Credit card (automatic),110.05,7430.75,No
2990-HWIML,Female,Month-to-month,Electronic check,89.5,573.3,Yes
2990-IAJSV,Male,Two year,Bank transfer (automatic),92.0,6632.75,No
2990-OGYTD,Female,Two year,Bank transfer (automatic),86.15,5883.85,No
2991-OKAXW,Male,One year,Mailed check,53.95,2375.4,
2995-UPRYS,Female,One year,Credit card (automatic),99.2,4062.2,Yes
2995-YWTCD,Female,Two year,Bank transfer (automatic),24.9,467.7,No
2996-XAUVF,Male,Two year,Mailed check,40.05,2799.75,No
2999-AANRQ,Female,Two year,Credit card (automatic),71.05,1524.85,No
3001-CBHLQ,Male,Month-to-month,Electronic check,104.9,3351.55,Yes
3001-UNBTL,Male,Month-to-month,Electronic check,103.95,2964.8,No
3002-WQZWT,Female,Month-to-month,Electronic check,74.2,1993.25,No
3003-CMDUU,Female,Month-to-month,Electronic check,95.15,2395.7,No
3005-NFMTA,Male,Month-to-month,Electronic check,98.8,5617.75,Yes
3005-TYFRD,Female,Month-to-month,Credit card (automatic),103.65,5676.65,No
3006-XIMLN,Female,Month-to-month,Bank transfer (automatic),94.2,193.8,Yes
3007-FDPEA,Female,Month-to-month,Bank transfer (automatic),20.7,39.85,No
3007-KYUNZ,Female,Two year,Mailed check,25.6,485.9,
3009-JWMPU,Male,One year,Electronic check,96.75,6125.4,Yes
3011-WQKSZ,Male,Month-to-month,Electronic check,20.0,377.55,No
3012-OALWM,Male,Month-to-month,Electronic check,75.6,661.55,
3012-VFFMN,Female,Month-to-month,Mailed check,20.65,158.95,No
3014-WJKSM,Male,Month-to-month,Credit card (automatic),75.3,2263.4,No
3016-KSVCP,Male,Month-to-month,Mailed check,33.75,1009.25,No
3018-DZHFE,Male,Month-to-month,Mailed check,19.55,19.55,
3018-TFTSU,Male,Month-to-month,Bank transfer (automatic),81.7,858.6,Yes
3021-VLNRJ,Female,One year,Credit card (automatic),70.8,3478.15,No
3022-BEXHZ,Male,Two year,Bank transfer (automatic),111.2,7530.8,No
3023-GFLBR,Female,Month-to-month,Credit card (automatic),86.15,2745.7,Yes
3026-ATZYV,Female,One year,Bank transfer (automatic),75.1,2658.8,No
3027-YNWZU,Female,Two year,Credit card (automatic),25.0,1584.8,No
3027-ZTDHO,Male,Month-to-month,Electronic check,89.9,89.9,Yes
3030-YDNRM,Male,Month-to-month,Electronic check,74.85,572.45,No
3030-YZADT,Male,Month-to-month,Mailed check,44.95,431.0,Yes
3030-ZKIWL,Male,Month-to-month,Mailed check,20.05,20.05,No
3034-ZBEQN,Female,One year,Mailed check,34.7,1604.5,Yes
3038-PQIUY,Female,Month-to-month,Bank transfer (automatic),66.15,2522.4,No
3039-MJSLN,Male,Month-to-month,Bank transfer (automatic),20.2,50.6,No
3043-SUDUA,Female,Month-to-month,Bank transfer (automatic),19.9,601.55,No
3043-TYBNO,Male,Month-to-month,Mailed check,60.65,196.9,No
3045-XETSH,Female,Month-to-month,Electronic check,94.85,953.45,Yes
3049-NDXFL,Female,Month-to-month,Mailed check,85.8,85.8,Yes
3049-SOLAY,Female,Month-to-month,Electronic check,95.2,292.85,Yes
3050-GBUSH,Female,Month-to-month,Credit card (automatic),34.8,113.95,No
3050-RLLXC,Female,Two year,Credit card (automatic),81.25,4620.4,No
3055-MJDSB,Male,Month-to-month,Mailed check,24.6,190.1,No
3055-OYMSE,Female,Month-to-month,Credit card (automatic),73.8,4003.85,No
3055-VTCGS,Female,One year,Credit card (automatic),58.55,3503.5,No
3057-VJJQE,Male,Two year,Mailed check,55.25,1924.1,No
3058-HJCUY,Male,One year,Electronic check,102.6,4213.35,Yes
3058-WQDRE,Male,Month-to-month,Bank transfer (automatic),25.15,331.85,No
3059-NGMXB,Male,Month-to-month,Mailed check,69.2,944.65,No
3061-BCKYI,Male,Month-to-month,Mailed check,19.9,283.75,No
3062-ICYZQ,Female,Month-to-month,Electronic check,93.8,4539.35,No
3063-QFSZL,Female,Month-to-month,Electronic check,55.4,55.4,Yes
3066-RRJIO,Female,Month-to-month,Mailed check,69.95,69.95,Yes
3067-SVMTC,Female,One year,Bank transfer (automatic),55.9,3848.8,No
3068-OMWZA,Male,Month-to-month,Electronic check,88.8,88.8,Yes
3069-SSVSN,Female,One year,Mailed check,25.85,25.85,No
3070-BDOQC,Female,Two year,Electronic check,99.65,5941.05,No
3070-DVEYC,Male,Month-to-month,Mailed check,73.75,545.15,Yes
3070-FNFZQ,Female,Two year,Bank transfer (automatic),20.4,478.75,No
3071-MVJCD,Male,Two year,Bank transfer (automatic),82.3,5815.15,No
3071-VBYPO,Male,Month-to-month,Electronic check,89.85,248.4,No
3074-GQWYX,Male,Month-to-month,Bank transfer (automatic),75.9,357.75,Yes
3077-RSNTJ,Female,Month-to-month,Mailed check,19.7,113.5,No
3078-NDXXG,Female,Month-to-month,Mailed check,50.15,2139.1,
3078-ZKNTS,Female,Two year,Bank transfer (automatic),19.75,246.7,No
3079-BCHLN,Male,One year,Bank transfer (automatic),19.9,942.95,No
3082-VQXNH,Male,Month-to-month,Credit card (automatic),29.8,94.4,No
3082-WQRVY,Male,One year,Mailed check,19.65,228.65,No
3082-YVEKW,Female,Two year,Bank transfer (automatic),77.15,1759.4,No
3084-DOWLE,Female,Two year,Bank transfer (automatic),92.0,6474.4,No
3085-QUOZK,Female,Month-to-month,Mailed check,43.95,43.95,Yes
3086-RUCRN,Female,Month-to-month,Bank transfer (automatic),103.1,6595.0,No
3088-FVYWK,Male,Two year,Credit card (automatic),25.55,1336.1,No
3088-LHEFH,Female,Month-to-month,Bank transfer (automatic),79.0,929.3,No
3090-HAWSU,Male,Two year,Credit card (automatic),111.6,6876.05,Yes
3090-LETTY,Male,Month-to-month,Bank transfer (automatic),60.95,134.6,No
3090-QFUVD,Female,Month-to-month,Credit card (automatic),20.3,20.3,No
3091-FYHKI,Male,Month-to-month,Electronic check,35.45,35.45,Yes
3092-IGHWF,Male,One year,Electronic check,87.4,5918.8,Yes
3094-JOJAI,Male,Month-to-month,Mailed check,74.15,1387.0,No
3096-GKWEB,Male,Month-to-month,Electronic check,94.75,1691.9,No
3096-IZETN,Female,Month-to-month,Bank transfer (automatic),78.1,947.3,Yes
3096-JRDSO,Female,Month-to-month,Bank transfer (automatic),104.3,2867.75,Yes
3096-WPXBT,Female,One year,Credit card (automatic),100.7,6018.65,No
3096-YXENJ,Female,Two year,Bank transfer (automatic),107.65,7082.85,No
3097-FQTVJ,Female,Two year,Mailed check,20.0,810.3,No
3097-IDVPU,Male,Month-to-month,Credit card (automatic),50.1,910.45,No
3097-NNSPB,Female,Month-to-month,Credit card (automatic),49.05,91.1,Yes
3097-NQYSN,Male,Month-to-month,Mailed check,86.85,156.35,Yes
3097-PYWXL,Female,Month-to-month,Electronic check,19.95,82.9,No
3099-OONVS,Male,Month-to-month,Electronic check,54.3,1296.8,No
3104-OWCGK,Male,One year,Electronic check,90.95,5453.4,Yes
3106-ULWFW,Female,Month-to-month,Credit card (automatic),85.2,627.4,Yes
3108-PCCGG,Male,Two year,Credit card (automatic),84.45,5899.85,No
3113-IWHLC,Male,Month-to-month,Mailed check,55.8,274.35,No
3115-CZMZD,Male,Two year,Mailed check,20.25,0.0,No
3115-JPJDD,Female,One year,Credit card (automatic),81.25,4639.45,No
3118-UHVVQ,Female,Two year,Credit card (automatic),25.8,1911.5,No
3120-FAZKD,Male,Two year,Bank transfer (automatic),24.05,1230.9,No
3125-RAHBV,Male,One year,Credit card (automatic),20.3,467.15,No
3126-WQMGH,Female,Month-to-month,Credit card (automatic),52.15,2583.75,No
3128-YOVTD,Female,Month-to-month,Bank transfer (automatic),79.15,4018.55,No
3129-AAQOU,Female,Two year,Mailed check,25.6,485.9,No
3130-ICDUP,Female,Month-to-month,Credit card (automatic),80.55,188.1,No
3131-NWVFJ,Female,One year,Mailed check,19.55,294.5,No
3132-TVFDZ,Male,Month-to-month,Electronic check,44.85,2572.95,Yes
3133-PZNSR,Male,Two year,Credit card (automatic),97.75,6991.6,No
3134-DSHVC,Female,Two year,Credit card (automatic),98.0,6218.45,No
3134-JCVOE,Female,Month-to-month,Mailed check,29.2,98.5,
3137-LUPIX,Female,Month-to-month,Mailed check,64.4,253.0,No
3137-NYQQI,Male,One year,Mailed check,64.8,1175.6,No
3138-BKYAV,Male,Month-to-month,Electronic check,85.35,489.45,Yes
3143-ILDAL,Male,Month-to-month,Electronic check,94.45,5124.6,Yes
3143-JQEGI,Female,Month-to-month,Electronic check,88.35,1222.8,Yes
3144-AUDBS,Female,Month-to-month,Electronic check,49.15,270.8,Yes
3144-KMTWZ,Male,Month-to-month,Bank transfer (automatic),93.25,6669.45,No
3146-JTQHR,Male,One year,Bank transfer (automatic),19.6,189.45,No
3146-MSEGF,Female,Two year,Credit card (automatic),88.05,6425.65,No
3148-AOIQT,Female,Two year,Credit card (automatic),24.95,1718.35,No
3148-BLQJT,Male,Month-to-month,Mailed check,20.1,20.1,Yes
3154-CFSZG,Male,Month-to-month,Electronic check,90.05,4137.2,No
3154-HMWUU,Male,Two year,Bank transfer (automatic),20.5,1198.8,No
3156-QLHBO,Male,Month-to-month,Mailed check,19.25,48.35,No
3158-MOERK,Female,Month-to-month,Electronic check,96.0,174.8,Yes
3160-TYXLT,Male,Month-to-month,Bank transfer (automatic),46.3,2546.85,No
3161-GETRM,Male,Month-to-month,Credit card (automatic),90.05,3097.0,No
3161-ONRWK,Male,One year,Bank transfer (automatic),65.85,3928.3,No
3161-PJNCN,Female,Two year,Bank transfer (automatic),20.05,1263.05,
3162-KKZXO,Female,One year,Electronic check,100.15,5409.75,No
3162-ZJZFU,Male,Month-to-month,Electronic check,92.55,4779.45,No
3164-AALRN,Male,One year,Mailed check,70.0,347.4,Yes
3164-YAXFY,Male,Month-to-month,Electronic check,53.75,3196.0,No
3165-HDOEW,Male,Month-to-month,Mailed check,45.85,45.85,Yes
3166-PNEOF,Female,Two year,Credit card (automatic),86.45,5175.3,No
3167-SNQPL,Male,Month-to-month,Electronic check,101.15,3741.85,No
3170-GWYKC,Female,Month-to-month,Bank transfer (automatic),104.95,6236.75,No
3170-NMYVV,Female,Two year,Bank transfer (automatic),20.15,930.9,No
3173-NVMPX,Female,Month-to-month,Mailed check,55.3,501.2,No
3173-WSSUE,Female,Two year,Credit card (automatic),19.7,1415.85,No
3174-AKMAS,Female,Two year,Credit card (automatic),64.2,3009.5,No
3174-RKMOW,Male,Month-to-month,Electronic check,109.95,3782.4,No
3177-LASXD,Female,Month-to-month,Electronic check,71.35,71.35,Yes
3178-CIFOT,Female,One year,Credit card (automatic),19.65,478.1,No
3178-FESZO,Female,Month-to-month,Credit card (automatic),100.25,100.25,Yes
3179-GBRWV,Male,Month-to-month,Bank transfer (automatic),64.95,1339.8,No
